[2026-03-30T11:49:34.976Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871374959 → 200 (1ms, 38260B)
[2026-03-30T11:49:40.524Z] GET http://localhost:4000/_next/static/webpack/a41a3a9697eb008d.webpack.hot-update.json → 200 (4ms, 44B)
[2026-03-30T11:49:40.528Z] GET http://localhost:4000/_next/static/webpack/app/layout.a41a3a9697eb008d.hot-update.js → 200 (2ms, 1623B)
[2026-03-30T11:49:40.528Z] GET http://localhost:4000/_next/static/webpack/webpack.a41a3a9697eb008d.hot-update.js → 200 (2ms, 858B)
[2026-03-30T11:49:40.581Z] GET http://localhost:4000/dashboard?_rsc=syt8b → 200 (20ms, ?B)
[2026-03-30T11:49:40.642Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871380598 → 200 (1ms, 38260B)
[2026-03-30T11:49:49.162Z] GET http://localhost:4000/customers → 200 (26ms, 1083292B)
[2026-03-30T11:49:49.190Z] GET http://localhost:4000/_next/static/css/app/layout.css?v=1774871389168 → 200 (1ms, 38260B)
[2026-03-30T11:49:49.190Z] GET http://localhost:4000/_next/static/chunks/webpack.js?v=1774871389168 → 200 (3ms, 56325B)
[2026-03-30T11:49:49.190Z] GET http://localhost:4000/_next/static/chunks/main-app.js?v=1774871389168 → 200 (188ms, ?B)
[2026-03-30T11:49:49.190Z] GET http://localhost:4000/_next/static/chunks/app-pages-internals.js → 200 (4ms, 133531B)
[2026-03-30T11:49:49.190Z] GET http://localhost:4000/_next/static/chunks/app/layout.js → 200 (12ms, 576491B)
[2026-03-30T11:49:49.305Z] GET http://localhost:4000/_next/static/chunks/app/customers/page.js → 200 (73ms, 431318B)
